resolved_timestamp,event_slug,series_slug,asset,timeframe,market_type,threshold_price,winning_outcome
2026-03-06T10:12:59Z,xrp-updown-5m-1772791500,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T10:12:59Z,eth-updown-5m-1772791500,eth-up-or-down-5m,ETH,5m,up_down,,Down
2026-03-06T10:15:06Z,bitcoin-up-or-down-march-6-3am-et,btc-up-or-down-hourly,BTC,1h,up_down,,Down
2026-03-06T10:15:06Z,ethereum-up-or-down-march-6-3am-et,eth-up-or-down-hourly,ETH,1h,up_down,,Down
2026-03-06T10:15:06Z,xrp-up-or-down-march-6-3am-et,xrp-up-or-down-hourly,XRP,1h,up_down,,Down
2026-03-06T10:18:15Z,btc-updown-5m-1772791800,btc-up-or-down-5m,BTC,5m,up_down,,Up
2026-03-06T10:18:15Z,eth-updown-15m-1772791200,eth-up-or-down-15m,ETH,15m,up_down,,Up
2026-03-06T10:18:15Z,xrp-updown-5m-1772791800,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T10:18:15Z,sol-updown-15m-1772791200,sol-up-or-down-15m,SOL,15m,up_down,,Up
2026-03-06T10:18:15Z,btc-updown-15m-1772791200,btc-up-or-down-15m,BTC,15m,up_down,,Up
2026-03-06T10:18:15Z,xrp-updown-15m-1772791200,xrp-up-or-down-15m,XRP,15m,up_down,,Up
2026-03-06T10:18:15Z,sol-updown-5m-1772791800,sol-up-or-down-5m,SOL,5m,up_down,,Up
2026-03-06T10:18:15Z,eth-updown-5m-1772791800,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T10:23:34Z,eth-updown-5m-1772792100,eth-up-or-down-5m,ETH,5m,up_down,,Up
2026-03-06T10:23:34Z,xrp-updown-5m-1772792100,xrp-up-or-down-5m,XRP,5m,up_down,,Up
2026-03-06T10:23:34Z,btc-updown-5m-1772792100,btc-up-or-down-5m,BTC,5m,up_down,,Down
2026-03-06T10:23:34Z,sol-updown-5m-1772792100,sol-up-or-down-5m,SOL,5m,up_down,,Down
2026-03-06T10:27:47Z,btc-updown-5m-1772792400,btc-up-or-down-5m,BTC,5m,up_down,,Up
